,release_year,duration
629,2018,50
630,2018,86
631,2018,140
632,2013,122
633,2018,23
634,2016,95
635,2015,205
636,2015,123
637,2014,190
638,2018,121
640,2017,94
641,2017,87
642,2016,121
643,2019,98
644,2018,99
647,2017,95
650,2018,107
651,2019,100
652,2017,101
653,2019,86
654,2019,96
656,2018,99
657,2019,112
658,2017,127
659,2018,131
660,2016,79
661,2010,140
663,2010,80
664,2017,66
666,2019,22
667,2019,78
668,2019,63
670,2015,97
671,2018,86
672,2018,63
673,2017,135
674,2013,96
679,2017,144
680,2015,111
681,2015,59
682,2015,137
683,2015,86
685,2016,93
686,2019,73
690,2017,150
691,2018,159
693,2016,108
694,2015,127
695,2013,127
696,2015,90
697,2015,126
698,2016,121
699,2017,119
700,2015,109
702,2013,132
703,2014,118
704,2016,84
705,2016,93
706,2017,96
707,2016,145
709,1960,158
710,2017,132
711,2014,111
712,2016,133
713,1959,143
714,2016,117
715,2016,84
716,2016,97
717,2012,77
718,2008,94
719,2010,94
720,2015,91
722,2008,93
723,2007,95
726,2019,62
727,2017,107
728,2016,80
729,2015,135
731,2013,72
732,2019,96
734,2018,131
736,2016,83
737,2016,102
738,2017,52
739,2017,110
740,2017,85
741,2017,113
742,2016,95
743,2018,130
745,2018,99
746,2018,86
748,2018,106
749,2018,57
752,2018,97
753,2016,88
754,2017,89
755,2016,90
756,2014,71
757,2017,104
758,2019,123
759,2019,100
760,2019,99
761,2019,151
762,2019,102
763,2015,118
766,2016,98
768,2019,154
770,2018,144
772,2018,110
773,2017,59
776,2014,71
777,1989,93
778,2019,77
779,2001,103
780,2013,45
781,1995,119
782,2003,147
783,2001,123
784,1992,99
785,2000,98
786,2003,106
790,2004,112
791,2003,85
792,2014,91
794,1990,88
795,2001,101
796,2018,90
798,1997,96
799,2007,99
800,2008,101
801,2011,111
802,1975,96
803,2017,86
805,1973,97
806,2009,121
807,2017,59
808,2019,58
809,1985,90
810,2002,88
812,2019,64
813,2007,104
814,2007,122
815,2004,125
816,2013,92
817,1980,129
818,2000,79
819,1997,121
820,2010,106
822,2005,124
823,2017,87
824,1984,125
825,2006,154
826,2007,86
827,2010,111
828,2007,97
829,1970,66
830,2009,121
831,1994,91
832,2000,91
835,1982,82
836,2006,117
837,1998,81
838,1978,84
839,2005,81
840,2009,107
841,1996,94
842,2004,163
844,2006,90
845,2017,96
846,1983,91
