,release_year,duration
2400,2004,160
2402,2013,52
2403,2013,52
2404,2010,87
2409,2016,56
2411,2015,115
2413,2016,53
2414,2016,94
2415,2016,118
2418,2016,92
2419,2016,98
2421,2013,125
2422,2016,113
2423,2016,90
2424,2016,93
2425,2015,91
2426,2015,100
2429,2017,87
2430,2019,90
2431,2019,120
2432,2002,107
2433,2018,100
2434,2018,110
2435,2018,66
2438,2016,84
2439,2018,74
2440,2019,119
2441,2019,114
2442,2019,125
2443,2019,71
2444,2019,110
2445,2018,127
2448,2019,118
2449,2018,90
2450,2013,99
2452,2013,94
2453,2019,90
2454,2014,98
2455,2016,98
2456,2014,99
2457,2019,133
2458,2017,94
2459,2016,116
2460,2017,93
2461,1974,103
2462,2017,84
2463,2012,90
2464,2013,107
2465,2018,89
2466,2015,90
2467,2013,96
2468,2016,130
2469,2019,90
2470,2018,86
2471,2011,79
2472,2013,93
2473,2017,131
2474,2014,107
2475,2017,117
2476,2015,12
2477,2019,62
2478,2014,3
2479,2009,94
2481,2017,86
2482,2019,122
2483,2013,113
2484,2019,141
2485,2012,69
2486,2017,92
2488,2017,90
2489,2015,90
2491,2016,79
2492,2015,84
2493,2015,91
2495,2016,89
2496,2016,119
2497,2016,88
2498,2016,126
2499,2016,60
2500,2018,81
2501,2019,176
2502,2018,101
2504,2018,77
2507,2018,89
2508,2018,90
2509,2018,98
2511,2015,69
2512,2016,119
2514,2018,73
2517,2017,87
2518,2019,88
2522,2018,88
2523,2017,121
2524,2019,15
2526,2019,55
2527,2014,49
2528,2017,66
2529,2018,141
2530,2012,122
2531,2018,117
2532,2018,95
2533,2019,109
2535,2017,152
2536,2018,66
2537,2015,102
2538,2016,108
2539,2015,103
2540,2019,63
2541,2018,73
2542,2018,107
2544,2014,103
2545,2017,139
2546,2018,95
2547,2016,91
2548,2017,90
2550,2016,80
2551,2016,97
2552,2019,87
2553,2014,79
2555,1999,89
2556,2016,75
2558,2015,78
2559,2016,81
2560,2017,96
2561,2005,72
2562,2017,89
2563,2015,92
2564,2014,99
2565,2019,96
2566,2016,89
2568,2018,74
2569,2018,119
2570,2017,92
2571,2017,81
2572,2019,113
2574,1998,69
2575,2012,99
2579,1997,87
2580,2016,161
2581,2014,85
2582,2010,112
2583,2019,116
2584,2011,99
2585,2010,101
2586,2012,110
2587,2019,116
2588,2010,96
2589,2011,83
2591,2015,92
2592,2017,24
2593,2017,66
2596,2005,93
2597,2019,114
2598,2016,110
2599,2010,118
2600,2016,130
2602,2017,102
2605,2019,110
2606,2018,86
2607,2018,110
2608,2019,122
2609,2018,99
2610,2018,70
2612,2014,100
2613,2019,59
2614,2018,65
2615,2018,126
2616,2018,97
2617,2018,68
2618,2018,65
2619,2018,63
2620,2017,89
2624,2015,105
2625,2015,122
2626,2015,88
2627,2018,91
2628,2017,91
2629,2015,81
2630,2017,92
2631,2018,53
2634,2019,40
2635,2019,113
2636,2017,117
2637,2018,90
2642,2006,104
2643,2018,48
2644,2018,121
2645,2018,106
2646,2017,74
2647,2018,106
2648,2017,113
2649,2017,119
2652,2016,77
2653,2017,104
2654,2017,73
2655,2015,102
2656,2016,82
2657,2017,47
2658,2014,78
2660,2019,95
2662,2019,98
2665,2013,82
2666,2014,97
2667,2016,102
2669,2019,61
2670,2018,93
2671,2019,117
2672,2010,108
2673,2017,126
2674,2011,93
2675,2017,98
2676,2017,102
2677,2012,96
2678,2019,60
2679,2019,142
2680,2017,76
2681,2017,95
2682,2018,113
2685,1991,112
2686,2016,85
2691,2016,108
2693,2014,125
2694,2016,119
2695,2008,109
2696,2011,100
2698,2018,98
2699,1976,98
2701,2017,128
2702,2018,83
2703,2015,105
2704,2019,109
2705,2019,83
2706,2008,101
2707,2018,78
2708,1998,110
2709,2009,116
2710,2004,141
2711,2016,120
2712,2019,97
2713,2019,109
2714,2003,105
2715,2017,126
2716,2017,130
2717,2017,99
2719,2015,89
2720,2004,136
2721,2004,131
2722,2016,165
2724,2018,110
2725,2015,85
2726,2017,92
2727,1993,154
2728,2017,44
2729,2017,104
2730,2017,76
2731,2016,96
2732,2017,63
2733,2016,108
2735,2000,105
2736,2017,47
2737,2017,44
2739,2015,109
2740,2016,89
2741,2017,92
2742,1993,122
2743,2017,19
2746,1995,154
2749,1969,152
2750,1998,161
2752,2016,123
2756,2017,44
2757,2001,106
2760,2015,79
2763,2015,93
2764,2015,95
2765,2015,99
2766,2014,143
2767,2019,65
2768,2018,131
2771,2015,100
2772,2011,105
2773,2017,105
2777,2017,84
2780,2013,60
2781,2017,119
2782,2018,93
2783,2018,66
2784,2018,83
2785,2018,110
2786,2018,88
2787,2016,109
2788,2017,96
2789,2016,96
2791,2019,105
2793,2010,112
2797,2016,40
2798,2016,107
2799,2013,77
2800,2016,78
2802,2018,90
2803,2019,130
2804,1978,88
2806,1978,97
2809,2019,83
2810,2019,99
2811,2019,59
2812,2008,92
2813,2010,102
2814,2011,93
2815,2017,103
2817,2006,91
2818,2012,58
2819,2012,69
2820,2012,61
2821,2019,107
2822,2013,99
2824,2013,126
2825,2016,112
2826,2005,82
2827,2012,86
2828,2010,105
2829,1975,101
2830,2017,100
2832,2017,93
2833,2017,84
2834,2018,57
2835,2018,95
2837,2018,101
2839,2018,94
2840,2018,111
2841,2019,100
2843,2019,77
2844,2015,57
2849,2016,107
2850,2019,93
2851,2015,128
2852,2015,99
2853,2015,113
2854,2015,108
2855,2013,105
2856,2015,109
2857,2015,93
2858,2007,82
2859,2015,95
2860,2015,84
2861,2015,106
2863,2010,122
2864,2012,108
2865,2009,94
2866,2011,103
2867,2015,106
2868,2018,124
2869,2005,92
2870,2007,88
2871,2018,68
2872,2017,67
2873,2014,87
2874,2019,114
2875,2018,72
2876,2018,93
2877,2014,102
2878,2016,91
2879,2015,110
2881,2018,103
2882,2017,69
2883,2009,153
2886,2012,94
2887,2014,125
2888,2008,99
2889,2005,149
2890,2008,111
2891,2018,58
2892,2018,56
2893,2008,110
2894,2013,98
2895,2004,106
2896,2007,102
2897,2014,89
2898,2014,95
2899,2016,110
2900,2016,87
2901,2017,93
2905,2018,92
2906,2018,95
2908,2018,133
2909,2014,112
2910,2016,84
2916,2017,100
2917,2018,88
2918,2014,83
2919,2019,81
2920,2018,77
2923,2018,85
2924,2006,85
2925,2014,84
2926,2015,118
2927,2014,99
2928,2014,109
2929,2014,103
2930,1946,94
2932,2019,98
2933,2013,97
2935,2018,105
2936,2018,101
2937,2017,63
2939,2016,94
2940,2018,136
2942,2018,103
2943,2017,116
2944,2015,92
2945,2018,161
2946,2019,32
2947,2018,86
2948,2006,107
2949,2009,98
2950,2018,83
2956,2018,77
2957,2012,86
2958,2013,91
2959,1985,95
2960,2016,99
2961,2012,90
2962,2018,88
2963,2013,85
2964,2016,98
2965,2012,94
2966,2018,71
2967,2008,95
2968,1993,124
2969,2017,108
2970,2015,87
2971,2013,95
2972,2013,108
2973,2017,104
2974,2013,143
2975,2014,116
2976,2016,106
2977,2015,100
2978,2016,101
2979,2016,117
2980,2013,155
2981,1954,120
2983,2015,110
2985,2017,14
2986,2017,89
2987,2017,108
2988,2015,114
2990,2014,78
2991,2018,133
2993,2018,113
2994,2018,71
2995,2013,75
2996,2018,75
2997,2014,97
2998,2014,59
2999,2015,99
3000,2014,74
3001,2019,105
3004,2019,79
3006,2018,106
3010,2019,90
3017,2019,87
3018,2008,95
3020,2017,91
3025,2019,67
3026,2019,106
3027,2017,83
3028,2014,80
3029,2016,103
3030,2015,94
3031,2015,92
3032,1974,112
3035,2008,97
3036,2008,106
3038,2019,66
3039,2011,106
3040,2006,110
3041,1989,102
3042,2016,105
3043,1973,112
3045,2007,96
3046,2008,97
3047,2017,53
3048,2018,113
3049,2017,53
3050,2017,54
3051,2017,53
3052,2017,54
3053,2018,113
3054,2017,53
3055,2017,53
3056,2018,53
3057,2017,54
3058,2017,54
3059,2017,52
3060,2017,54
3061,2017,54
3062,2018,53
3063,2017,53
3064,2018,53
3065,2018,113
3066,2012,53
3067,2009,91
3068,1993,126
3070,2009,99
3071,1988,134
3073,2012,26
3074,2000,117
3075,2009,89
3076,2019,94
3077,2004,101
3079,2018,94
3080,2001,99
3081,1976,114
3082,2016,48
3083,2018,78
3084,2010,118
3085,2005,119
3086,2008,104
3087,2003,98
3088,2006,93
3090,2013,61
3091,1967,90
3092,2017,128
3093,2006,122
3094,2013,60
3095,2017,126
3096,2003,166
3097,2017,113
3099,2018,88
3100,2017,151
3101,2013,107
3102,2017,42
3103,2018,94
3104,2018,130
3105,2010,87
3106,2017,116
3107,2006,77
3108,2017,117
3109,2003,84
3110,2018,92
3111,2007,130
3112,2017,103
3113,2017,89
3114,2017,109
3115,2016,104
3116,2009,114
3117,2017,133
3118,2007,101
3119,2005,137
3120,2015,88
3121,2018,88
3122,2017,115
3123,2017,120
3124,2017,104
3125,2008,114
3126,2010,128
3127,2017,125
3128,2017,38
3129,2017,102
3130,2017,96
3131,2018,94
3132,2014,89
3133,2012,97
3135,2011,95
3137,2016,106
3138,1966,116
3140,2017,91
3142,2017,90
3144,2018,86
3145,2016,97
3146,2015,170
3147,1971,153
3149,2013,104
3152,2012,162
3153,1962,163
3155,2016,106
3159,2016,108
3160,2013,130
3162,2015,133
3163,1994,148
3166,2016,105
3168,2013,58
3170,2016,87
3171,2015,81
3174,2015,96
3175,2006,52
3176,2014,114
3178,2015,105
3179,2015,157
3180,2020,97
3181,2019,75
3182,2018,91
3183,2018,117
3184,2018,135
3185,2018,135
3186,2016,91
3187,2017,63
3188,2017,135
3190,1998,95
3191,2013,112
3193,2016,74
3194,2017,92
3195,2020,102
3196,2010,103
3197,2018,75
3198,2018,95
3199,2018,82
3200,2015,94
3201,2016,84
3202,2016,88
3203,2017,98
3204,2016,82
3205,2013,22
3206,2016,141
3207,2016,124
3208,2017,106
3209,2016,86
3210,2015,115
3211,2017,99
3212,1999,101
3213,2013,142
3214,2016,97
3216,2015,83
3217,2016,95
3218,2014,117
3219,2016,100
3222,2018,102
3224,2018,122
3225,2018,95
3227,2016,75
3228,2018,92
3230,2018,110
3231,2017,106
3232,2017,120
3234,2018,83
3235,2014,123
3236,2017,96
3237,2017,78
3238,2015,87
3239,2010,56
3240,2008,141
3241,2016,97
3242,2018,118
3243,2008,95
3244,2010,127
3245,1998,69
3246,2014,74
3249,2020,90
3250,2002,156
3251,1986,103
3252,2018,120
3253,2018,96
3254,2017,69
3255,2018,118
3256,2017,74
3257,2019,91
3258,2018,137
3260,2018,86
3261,2017,108
3262,2017,91
3263,2017,68
3264,2017,92
3265,2016,99
3266,2018,106
3267,2012,125
3268,2018,114
3269,2016,143
3270,2015,121
3271,2017,119
3273,2011,47
3274,2011,52
3277,2017,91
3280,2002,108
3281,2018,150
3282,2018,102
3284,2018,61
3285,2018,57
3286,2014,85
3287,2018,49
3288,2017,37
3289,2018,88
3293,2018,105
3294,2019,119
3296,2017,87
3297,2016,102
3299,2018,97
3300,2018,96
3301,2017,85
3303,2018,59
3304,2017,97
3305,2017,67
3306,2014,93
3308,2009,91
3309,2014,104
3310,2016,77
3311,2018,63
3312,2017,57
3314,2015,72
3315,2017,69
3317,2017,86
3318,2016,92
3321,2016,78
3322,2016,130
3323,2017,80
3324,2017,129
3328,1975,92
3329,2017,89
3330,2017,86
3331,2015,52
3332,1994,49
3333,2018,62
3334,2018,108
3335,2018,95
3336,2016,90
3337,2013,91
3338,2019,95
3339,2019,98
3340,2019,96
3341,2018,83
3344,2018,96
3345,2019,90
3346,2018,97
3349,2017,99
3351,2016,93
3352,2020,121
3355,2018,62
3357,2017,66
3358,2017,93
3360,2013,105
3361,2019,78
3362,2010,109
3364,2011,95
3365,2019,86
3366,2015,132
3367,2019,107
3368,2015,122
3369,2018,99
3370,2010,94
3371,2009,106
3372,2013,117
3373,2018,60
3374,2008,119
3375,2016,90
3376,2002,88
3377,2018,95
3378,2019,108
3380,2017,99
3381,2019,95
3382,2019,103
3383,2000,89
3384,2017,90
3385,2016,88
3386,2018,105
3387,2017,118
3388,2019,86
3389,2018,127
3393,2018,88
3394,2017,125
3395,2018,116
3396,2018,102
3397,2019,65
3398,2018,88
3399,2016,106
3400,2017,117
3401,2016,94
3402,1980,147
3403,2017,94
3404,2017,89
3405,2017,89
3406,2017,89
3407,2016,111
3408,2015,118
3409,1986,153
3410,2017,87
3411,2017,122
3412,2017,97
3413,2017,121
3414,2008,105
3415,2015,83
3416,2016,96
3417,2013,84
3418,2014,98
3419,2014,91
3420,2016,89
3421,2015,90
3422,2015,89
3423,2014,123
3424,2008,107
3425,2010,108
3427,2020,66
3428,2012,137
3429,2019,132
3430,2018,91
3432,2014,117
3433,2016,100
3434,2016,91
3435,2016,87
3437,2016,131
3438,2014,93
3439,2018,136
3440,2010,116
3441,2016,146
3442,2016,82
3443,2017,104
3445,2018,56
3446,2019,128
3447,2007,121
3448,2018,89
3449,2017,124
3450,2009,68
3451,2018,94
3452,2017,100
3453,2018,71
3454,2016,85
3455,2015,109
3456,2006,88
3457,2017,104
3459,2019,65
3461,2018,91
3462,2019,99
3463,2017,76
3468,2014,119
3469,2011,85
3470,2016,86
3471,1981,85
3475,2018,60
3476,2017,89
3477,2017,92
3478,2017,74
3480,2008,123
3481,2004,95
3482,2014,45
3483,1999,122
3484,2011,98
3485,2018,106
3486,1997,139
3487,2014,87
3489,2014,105
3490,2002,142
3492,2000,116
3493,2005,115
3494,1997,113
3496,1968,146
3497,2009,96
3498,2002,130
3499,2006,108
3500,2008,85
3501,2005,137
3502,2010,115
3503,1997,127
3504,1996,103
3505,2015,97
3506,2000,84
3507,1997,96
3508,2019,80
3509,2000,98
3510,2003,90
3511,2006,93
3512,1993,112
3513,2009,97
3514,2007,78
3515,2008,79
3516,2009,78
3517,2007,110
3518,2020,145
3519,1998,139
3520,2007,116
3521,2004,88
3522,2005,118
3523,2010,97
3524,2010,148
3525,2013,122
3526,2015,71
3527,2001,83
3528,2009,123
3529,2001,118
3530,2003,111
3531,2004,137
3532,1996,114
3533,1997,116
3534,1987,109
3535,2010,97
3537,2019,81
3538,1999,189
3539,1983,155
3540,1999,112
3542,2005,101
3543,2009,97
3544,1991,102
3545,2004,91
3547,2006,119
3548,2007,86
3549,1992,117
3550,2018,98
3551,2017,102
3553,2010,97
3554,2015,88
3555,2009,97
3557,2000,88
3558,2012,90
3559,2016,83
3560,1993,107
3561,2000,89
3563,1992,95
3564,1999,85
3565,2002,78
3566,2007,116
3567,1991,88
3568,1990,94
3569,2003,109
3570,2009,115
3571,2005,89
3574,1996,101
3575,1992,112
3576,2005,104
3577,2007,95
3578,2009,82
3579,2009,99
3580,2003,201
3581,2002,179
3582,1998,138
3583,1991,85
3584,1988,85
3585,1984,138
3586,2000,111
3587,1997,124
3588,2002,116
3589,1999,139
3590,1990,96
3591,1995,100
3592,2001,104
3593,2004,101
3594,2015,99
3595,1969,128
3596,2009,110
3597,2000,130
3598,1999,106
3599,1971,100
3600,1994,191
3601,2008,104
3602,2012,110
3603,2007,133
3604,2006,143
3605,2015,111
3606,2001,144
3607,2015,121
3608,2004,99
3609,2003,93
3610,2018,100
3612,2016,102
3613,2008,123
3614,1989,127
3615,1981,116
3616,1984,119
3617,2001,105
3618,2014,134
3619,2017,90
3620,2017,93
3621,2010,93
3622,1998,108
3623,2018,115
3624,2003,119
3625,2012,61
3626,2007,109
3627,2017,97
3628,1994,154
3629,2017,120
3630,2017,148
3631,2003,121
3632,2008,95
3633,1994,102
3634,2016,87
3636,2014,114
3637,2010,48
3638,2002,124
3639,2005,101
3640,2013,126
3641,2010,133
3642,2017,90
3643,2006,91
3644,2017,104
3645,2012,105
3646,2004,123
3647,2017,89
3648,2014,87
3649,2017,91
3650,2014,102
3652,2016,106
3653,2016,102
3654,2017,91
3655,2017,87
3656,2012,103
3657,1994,193
3658,1999,176
3659,2010,124
3660,2017,135
3661,2011,106
3662,2005,133
3663,2017,107
3664,2017,78
3665,1989,192
3666,2017,55
3667,1988,132
3668,2009,148
3669,2012,46
3670,2013,46
3671,2011,46
3672,2014,74
3673,2013,46
3674,2017,50
3675,2016,114
3676,2013,117
3677,2016,108
3679,2017,97
3680,2008,122
3681,2011,115
3682,2017,104
3683,2016,140
3684,2016,101
3685,2009,99
3687,2016,102
3688,1996,94
3689,2017,92
3690,2013,125
3691,2017,82
3693,2006,151
3695,2013,80
3697,2016,97
3698,2007,92
3701,2011,92
3702,2016,85
3704,2015,83
3705,2016,118
3706,2016,84
3707,2010,52
3708,2016,84
3709,2016,146
3712,2015,110
3726,2011,24
3727,2011,46
3728,2011,24
3730,2014,55
3732,2012,24
3733,2012,23
3739,2013,24
3740,2013,24
3742,2006,81
3743,2018,111
3745,2018,96
3746,2018,95
3747,2018,24
3749,2018,97
3750,2016,93
3751,2019,91
3752,2018,118
3753,2019,63
3755,2019,74
3756,2018,136
3758,2017,94
3759,2015,91
3760,2014,79
3761,2013,93
3763,2018,90
3765,2017,54
3766,2018,132
3767,2016,101
3768,2018,65
3770,2017,84
3771,2017,91
3772,2015,94
3775,2019,59
3780,2017,97
3781,2018,102
3782,2017,93
3783,2016,73
3784,2015,88
3785,2015,109
3786,2016,68
3787,2012,105
3788,2016,93
3789,2015,72
3792,2017,78
3793,2014,86
3794,2018,66
3795,2016,106
3796,2018,125
3797,2016,77
3798,2017,87
3799,2017,110
3800,2015,110
3801,2017,71
3802,2016,108
3803,2015,130
3804,2015,119
3805,2014,110
3806,2017,120
3807,2018,102
3808,2013,125
3809,2013,103
3810,2013,127
3811,2017,121
3812,2018,101
3813,2014,113
3814,2015,118
3815,2012,132
3816,2008,106
3818,2009,116
3819,2015,117
3820,2018,69
3821,2018,67
3822,2016,123
3823,2015,83
3824,2011,90
3825,2006,61
3826,2017,92
3827,2017,96
3828,2016,92
3829,2017,85
3830,2015,97
3831,2016,101
3832,2014,103
3833,2013,90
3834,2014,107
3835,2018,80
3836,2017,105
3838,2015,99
3840,2013,58
3841,2014,58
3842,2013,56
3843,2017,97
3846,2015,74
3847,2018,110
3849,2018,127
3853,2016,100
3854,2016,98
3855,2016,70
3856,2019,117
3857,2019,89
3858,2019,84
3859,2018,131
3860,2014,91
3861,2013,103
3862,2016,100
3866,2016,75
3868,2013,54
3869,2013,54
3870,2014,55
3871,2013,54
3872,2013,55
3874,2018,139
3875,2018,103
3876,2017,109
3877,2012,150
3878,2017,100
3879,2017,67
3880,2011,76
3881,2001,42
3882,2017,79
3883,2016,73
3884,2017,93
3885,2016,129
3886,2018,84
3887,2018,91
3888,2017,93
3890,2018,91
3893,2018,53
3894,2017,116
3895,2017,102
3896,2016,94
3897,2018,90
3898,2011,88
3900,2017,91
3901,2017,87
3902,2017,134
3903,2017,118
3905,2016,105
3906,2016,78
3907,2016,99
3909,2016,96
3910,2012,44
3911,2012,43
3912,2018,96
3914,2017,85
3916,2014,95
3917,2016,87
3919,2016,134
3920,2016,119
3921,2016,128
3922,2015,114
3923,2018,99
3924,2017,89
3925,2018,60
3927,2018,96
3929,2008,128
3930,2016,91
3931,2013,72
3932,2016,103
3933,2017,127
3934,2017,113
3935,2018,111
3936,2017,112
3937,2018,96
3938,2012,103
3939,2017,104
3940,2004,102
3941,2018,86
3942,2012,97
3945,2017,111
3946,2018,132
3947,2018,89
3948,2018,102
3949,2006,120
3950,2002,137
3952,2018,82
3953,2017,85
3956,2008,115
3957,2016,107
3958,2018,130
3959,2016,133
3960,2015,118
3961,2011,150
3962,2006,132
3963,2011,121
3965,2013,127
3967,2007,152
3968,2005,126
3969,2009,104
3970,2012,162
3971,2009,120
3972,2015,109
3973,2015,79
3974,2016,88
3976,2010,107
3978,2016,92
3979,2015,88
3980,2014,100
3982,2017,57
3983,2019,62
3984,2018,65
3985,2018,133
3987,2017,71
3988,2017,64
3989,2016,83
3991,2015,95
3992,2009,112
3993,2017,110
3994,2015,29
3995,2018,26
3996,2015,102
3997,2014,124
3998,2018,93
3999,2016,123
4001,2016,97
4002,2017,96
4003,1977,150
4005,2016,84
4006,2002,101
4009,2000,110
4011,2010,82
4012,2018,100
4013,2016,52
4014,2019,51
4015,2015,127
4017,2017,86
4018,2017,107
4020,2014,22
4022,2018,22
4023,2017,22
4024,2016,44
4026,2018,91
4028,2009,99
4030,2016,105
4037,2016,105
4039,2018,88
4040,2018,128
4041,2019,24
4042,2019,113
4043,2017,52
4044,2016,50
4046,2015,49
4047,2017,81
4048,2005,93
4049,2016,97
4050,2016,94
4051,2017,90
4052,2017,110
4053,2017,88
4054,2017,80
4055,2017,86
4057,2016,143
4058,2013,84
4059,2016,42
4060,2017,117
4061,2016,96
4064,2017,78
4066,2015,116
4067,2015,154
4068,2015,90
4069,2014,179
4070,2015,93
4071,2016,97
4072,2015,80
4073,2015,88
4074,2016,99
4075,2016,104
4076,2016,94
4078,1990,77
4080,2016,111
4081,2016,108
4082,2014,92
4085,2019,29
4086,2017,92
4087,2018,85
4090,2015,38
4091,2016,108
4093,2015,74
4094,2010,93
4095,2019,172
4096,2008,75
4097,2013,90
4098,2011,105
4099,2003,124
4100,2002,110
4101,2011,102
4102,2010,102
4103,2017,89
4104,1986,162
4105,2008,147
4106,2001,224
4107,2000,137
4108,2010,109
4109,1991,163
4110,2007,162
4111,2016,104
4112,2016,90
4114,2016,97
4116,2009,108
4117,2019,97
4118,2018,96
4120,2018,110
4121,2018,58
4122,2018,105
4124,2018,59
4125,2018,28
4126,2018,98
4127,2006,91
4129,2017,108
4130,2017,107
4132,2019,137
4133,2017,106
4134,2017,115
4135,2019,46
4138,2011,120
4142,2016,92
4143,2017,93
4145,2010,111
4146,2017,27
4147,2016,81
4148,2016,70
4149,2016,62
4150,2016,104
4151,2019,85
4153,2019,24
4155,2018,116
4158,2017,67
4159,2016,97
4160,2014,81
4161,2019,109
4164,2018,106
4165,2018,63
4166,2017,109
4167,2016,99
4168,2015,57
4169,2003,121
4170,2011,164
4171,2019,110
4172,2017,99
4173,2006,122
4174,2019,85
4175,1977,172
4176,2007,134
4178,2009,95
4179,1972,125
4180,1982,121
4181,2019,90
4182,2006,151
4183,2003,114
4184,1973,168
4185,2002,132
4186,2000,132
4187,1988,87
4188,1975,127
4189,2006,97
4190,2007,128
4191,2002,133
4192,1978,158
4193,2002,151
4194,1990,163
4195,1997,161
4196,1979,137
4197,1995,130
4198,2006,148
4199,2001,124
4200,1976,156
4201,2019,89
4202,2006,163
4203,2009,132
4204,1960,181
4205,2013,125
4206,1997,133
4207,1981,173
4208,1982,140
4209,1980,120
4210,1972,115
4211,2017,126
4212,2005,137
4213,1983,138
4214,2004,158
4215,1982,171
4216,2018,108
4217,2017,96
4220,1974,104
4221,1985,178
4222,2005,154
4223,1984,114
4224,2010,136
4225,1982,118
4226,1983,137
4227,1964,228
4228,1982,153
4229,1990,168
4230,1977,123
4231,2018,121
4232,1979,161
4234,1999,128
4235,1997,119
4236,2007,130
4237,1985,134
4238,2017,105
4239,2018,130
4240,2018,113
4242,2014,131
4243,1991,28
4244,2015,34
4245,1992,61
4246,1993,56
4247,1989,81
4250,2013,68
4251,2008,58
4253,2016,100
4254,1987,50
4255,1991,49
4256,1991,71
4257,2016,29
4258,2018,108
4260,2018,125
4261,2018,72
4262,2018,100
4263,1990,30
4264,1991,30
4265,2011,146
4266,2008,127
4267,2012,46
4268,2011,57
4270,2017,85
4271,2017,86
4274,2014,93
4275,2016,49
4276,2017,82
4278,2017,100
4280,2012,55
4284,2010,53
4285,2017,87
4286,2016,93
4287,2016,97
4290,2018,87
4291,2015,90
4293,2016,86
4294,2016,102
4296,2019,46
4297,2019,56
4298,2016,98
4299,2019,108
4301,2018,88
4302,2015,96
4303,2012,84
4304,2012,116
4307,2010,112
4308,2017,105
4311,2013,130
4312,2019,120
4313,2018,122
4314,2017,97
4315,2018,312
4317,2012,109
4319,2016,122
4320,2012,116
4322,2018,73
4323,2018,96
4324,2016,90
4325,2015,101
4326,2013,102
4327,2018,73
4330,2019,86
4331,2018,103
4332,2018,91
4333,2017,106
4334,2012,89
4338,2019,79
4340,2014,110
4341,2016,115
4343,2017,91
4344,2017,61
4345,2017,94
4350,2015,29
4351,2019,97
4352,2017,91
4353,2019,96
4354,2019,103
4355,2017,95
4356,2019,83
4357,2018,150
4358,2015,90
4359,2017,93
4362,2013,75
4364,2019,117
4365,2019,70
4370,2017,89
4372,2017,80
4374,2016,93
4375,2016,62
4376,2016,98
4377,2019,90
4379,2018,93
4380,2016,105
4383,2017,118
4384,2004,141
4385,2019,86
4386,2017,86
4388,2018,105
4389,2018,124
4396,2018,105
4397,2018,44
4398,2018,91
4400,2017,94
4401,2016,92
4402,2015,60
4403,2015,60
4405,2014,113
4406,2018,82
4407,2015,141
4408,2015,107
4409,2019,126
4411,2018,95
4412,2011,78
4413,2018,22
4415,2012,95
4416,2015,82
4417,2014,89
4418,2017,84
4420,2016,103
4421,2016,22
4422,2015,115
4423,2016,88
4424,2003,87
4425,2013,78
4426,2013,73
4427,2010,72
4430,2018,155
4431,2015,119
4432,2017,142
4433,2017,78
4434,2016,112
4436,2016,90
4437,2016,88
4439,2019,25
4441,2018,90
4442,2017,85
4443,2017,69
4445,2016,100
4446,2017,85
4447,2016,86
4448,2016,94
4449,2014,26
4453,2017,94
4454,2017,97
4455,2015,60
4456,1988,48
4457,2019,63
4458,2018,85
4459,2018,29
4460,2014,96
4461,2015,47
4462,2014,73
4463,2010,119
4464,2018,136
4465,2015,120
4466,2017,101
4467,2018,137
4469,2014,27
4471,2014,112
4472,2014,112
4473,2011,107
4474,2018,153
4475,2014,123
4476,2017,129
4478,2016,105
4481,2016,88
4482,2016,88
4483,2016,86
4484,2016,110
4485,2015,134
4489,2001,185
4490,2015,174
4491,2006,169
4492,2011,148
4493,2013,135
4494,2011,135
4496,2019,89
4497,2007,119
4498,2017,81
4499,2017,98
4500,2010,135
4501,2004,185
4502,2009,156
4503,2017,104
4504,2008,139
4505,1998,77
4507,2012,140
4508,2001,60
4509,2018,65
4510,2011,154
4513,2018,90
4515,2017,84
4517,2018,78
4518,2018,79
4519,2018,73
4520,2018,83
4521,2017,83
4523,2015,87
4524,2018,145
4526,2008,143
4530,2015,90
4531,2016,92
4532,2015,81
4534,2017,105
4535,2016,91
4536,2017,111
4538,2015,103
4539,2016,118
4540,2016,148
4541,2017,88
4542,2017,75
4543,2017,89
4544,2017,128
4545,2017,86
4546,2013,83
4547,2015,109
4548,1999,111
4549,2017,40
4551,2015,93
4554,2015,98
4555,2015,29
4565,2016,88
4567,2015,93
4568,2015,70
4569,2015,77
4572,2018,135
4573,2018,109
4578,2016,81
4579,2019,129
4580,2016,99
4581,2017,100
4582,2016,110
4583,2018,107
4584,2012,94
4585,2019,95
4586,2018,89
4588,2019,65
4590,2018,35
4591,2017,70
4592,2016,108
4593,2016,106
4594,2017,106
4595,2013,83
4596,2016,31
4597,2014,103
4598,2013,100
4599,2019,143
4600,2015,86
4601,2018,68
4603,2016,81
4604,2017,94
4605,2016,83
4606,2015,120
4607,2017,101
4608,2019,60
4609,2016,107
4610,2016,110
4611,2017,86
4614,2016,73
4615,2019,86
4616,1998,82
4617,2002,94
4618,1997,90
4619,1999,95
4620,2019,127
4621,2014,93
4622,2019,94
4623,2019,120
4624,2005,117
4625,2019,108
4626,2017,135
4627,2016,111
4628,2017,134
4629,2002,104
4631,1996,131
4632,2018,137
4633,2012,86
4635,2017,93
4636,2019,103
4637,2005,93
4639,2006,151
4640,2017,104
4641,2017,133
4642,2019,95
4643,2015,126
4645,2011,122
4646,2009,87
4647,2018,73
4648,2018,98
4650,2013,130
4651,2018,99
4652,2014,105
4653,2014,110
4654,2018,81
4655,2011,115
4656,2014,113
4657,2015,146
4659,2015,118
4660,2004,122
4661,2016,109
4663,2018,68
4664,2009,117
4666,2018,23
4667,2010,95
4668,2017,124
4669,2017,90
